title,directions
Lemon Tarts,"Mix all the ingredients (except pie shells and coconut), adding lemon juice last., Bake pie shells; cool., Put in cooled pie shells and sprinkle with coconut."
Chicken A La King,"Heat butter until hot; add onion and mushrooms., Saute until light brown., Sprinkle flour over onions and mushrooms; stir quickly., Add milk gradually; stir constantly and bring to boil. Reduce heat; let simmer until mixture thickens., Stir in remaining ingredients and cook until thoroughly heated., Serve on toast."
Broccoli Soup,"Place vegetables and broth in saucepan., Bring to boil, reduce heat, cover and cook until vegetables are tender, about 8 minutes. Mix milk, cornstarch, salt, pepper and thyme; add to cooked vegetables., Cook, stirring constantly, until soup is slightly thick and mixture just begins to boil., Remove from heat., Add cheese and stir until melted., Makes 4 servings, 1 cup each."
Milky Way Cake,"Melt Milky Ways and add one stick margarine., Set aside. Cream one stick margarine with sugar., Add eggs one at a time. Add flour and buttermilk to which soda and vanilla have been added and chopped nuts., Bake in tube or oblong pan 1 hour at 300°."
Honey Wheat Bread,"Heat milk, butter, cottage cheese and honey until butter melts., Dissolve yeast in warm water., Mix whole wheat flour, sugar and salt., Beat the eggs and add to liquid ingredients., Add this to dry ingredients and mix well., Add enough white flour to form a ball (2 to 3 cups)., Knead 10 minutes. Let rise in a greased bowl., Punch down and divide in 2 or 3 parts., Cover and let rest for 10 minutes., Form into loaves and let rise., Bake at 375° for 30 to 40 minutes."
Mexican Bean Dip,"Mix taco seasoning into refried beans., Spread into small casserole dish., Spoon sour cream on top of and sprinkle with cheese., Bake at 350° for 30 minutes or microwave on High for 5 to 8 minutes."
Chocolate Cake,"Cream margarine, eggs, sugar and vanilla until fluffy. Add sour milk, flour and cocoa. Beat. Add hot water and soda. Bake at 350° for 30 minutes."
Whole Wheat Pound Cake,"Cream butter and Crisco., Add sugar and cream together. Add eggs,, one, at, a time, and beat., In a separate bowl sift together whole wheat flour, all-purpose flour and salt; add to sugar, mixture., Add vanilla and milk., Mix well and pour into greased and, floured tube pan., Bake at 325° for 1 hour and 15 minutes or until toothpick inserted comes out clean."
Tandoori Chicken,"Skin chicken., Slash chicken flesh., Combine ingredients in bowl., Add chicken, turning to coat., Cover and refrigerate several hours or overnight, turning occasionally., Let chicken stand 1 hour at room temperature before cooking., Preheat oven to 450°., Arrange in shallow baking pan., Bake 15 minutes; turn and coat with marinade., Bake until chicken is fork-tender."
Tasty Tidbits,"Melt margarine., Add seasoning., Mix well., Add cereal, nuts and pretzels., Toss to mix., Bake 250° 1 hour. Stir often cool and store in airtight jars."
Peach Cobbler,"Melt oleo in pan., Mix 1 cup sugar, flour, baking powder and milk., Pour into pan on top of melted oleo., Add peaches on top of this., Add remaining sugar over this., Bake for 30 minutes at 350°."
Dill Dip,"Mix all ingredients together thoroughly., Chill overnight. Serve with fresh chilled vegetables."
Macaroni Salad,"Prepare macaroni as directed on the box., Drain and rinse with cold water., Mix remaining ingredients and toss together until the macaroni is well coated."
Hot Chocolate,"Mix all dry ingredients., Use 1/3 cup mix to 1 cup hot water. Makes 125 cups., Stores very well in a tight container."
Crazy Cake,"Add all ingredients in 8 x 8-inch square pan., Mix with fork. Bake at 350° for 30 minutes."
Pineapple Raspberry Punch,"Pour pineapple juice and ginger ale over vanilla ice cream and raspberry sherbet until melted and blended., Makes 24 (4-ounce) servings."
Baked Apricot Casserole,"Butter a shallow casserole., Melt butter in saucepan., Add juice of 1 to 1 1/2 cans of apricot juice, flour and brown sugar. Stir until thickened., Arrange apricots in dish., Pour sauce over fruit., Crumble crackers on top., Bake at 350° until bubbly (approximately 25 to 30 minutes)."
Fettucine With Ham And Peas,"Saute the garlic in 1 tablespoon oleo. Stir in ham and peas. Saute 3 to 5 minutes. Remove from heat, cover and keep warm., Cook the fettucine, omitting the salt. Drain well and place in a large serving bowl., Add 1/2 cup oleo., Stir until melted., Add cheese and sour cream. Stir gently., Fold in ham mixture and pepper. Toss gently. Serve immediately., Serves 6."
Fluffy Coconut Pudding,"Soften gelatin in cold water., Add boiling water and stir until dissolved., Cool to room temperature., Beat egg whites with salt until frothy., Add sugar, 1 tablespoon at a time, and beat well after each addition., Continue beating until mixture holds a peak when beater is lifted., Slowly beat gelatin., Add vanilla to whipped cream., Mix and fold into egg whites., Fold in coconut. Cover and chill at least 4 hours., Garnish with Mandarin oranges and serve."
Potato Soup,"In a pot, add potatoes and onion to boiling water., Cover; cook 15 to 20 minutes, until potatoes are tender., Blend in milks, butter and seasonings., Cook until heated."
Chocolate Chip Cookies,"Cream the 2 sugars, shortening, eggs and vanilla., Add flour and baking soda, salt and water., Mix well., Add chocolate chips. One cup of chopped nuts may be added, if desired., Drop by 1 round teaspoon onto an ungreased cookie sheet., Bake at 350° for 10 minutes., Serves 36."
Traveling Taco Dip,"Spread beans over bottom of 10-inch glass pie plate., Layer remaining ingredients in the order listed., Serve with tortilla chips., Makes 8 servings., Preparation time:, 10 minutes."
Raw Apple Cake,"Sift flour., Measure and add sugar, soda, salt and cinnamon. Sift again., Work the shortening into this mixture as for pastry. Stir in chopped nuts and raisins that have been dusted with flour. Add ground apples and stir only enough to blend ingredients together., Pour into a greased 4 x 8 x 3 1/2-inch loaf pan., Bake at 325° for 1 hour., Yield:, one loaf."
Sausage Pie,"Set oven to 375°., Mix all together and fill pie shell., Bake 1 1/4 hour."
Cream Puff Pastry,"Combine water and butter in saucepan., Bring to boil., Add flour and salt to butter mixture., Stir vigorously until mixture leaves sides of pan and forms a ball., Let cool 4 to 5 minutes. Add eggs one at a time, beating with wooden spoon after each addition., Spoon dough into mound on baking sheet and bake as directed., Cut tops off and pull out soft dough inside., Fill with cream filling."
Indulgence Chocolate Mousse,"Heat the milk and chocolate over low heat. Stir until melted. Remove from heat. Beat yolks and vanilla together, then add the chocolate mixture. Return to heat and stir until thick. Beat the egg whites to stiff peaks and fold gently into the chocolate mixture. Divide into cups and refrigerate until firm., This is only 129 calories per serving."
Pecan Pie,Mix together and pour into unbaked 9-inch pie shell. Bake at 375° for 40 to 50 minutes.
Rolled Buttermilk Dumplings,"Sift flour with baking powder, soda and salt., Add buttermilk and mix lightly with a fork., Turn out on a floured board or pastry cloth., Knead lightly 4 or 5 times., Roll or pat out to 1/4-inch thick; cut into rectangles 1 x 3-inch with a floured knife., Drop into boiling stew., Cover and boil gently 10 to 12 minutes., Do not uncover while cooking."
Coolest Banana Pudding,"Mix pudding and milk in a large bowl. Stir in whipped topping, sour cream and mayonnaise., Layer 1/3 each of the wafers, pudding mixture, bananas and berries in serving bowl. Repeat layers twice. Refrigerate 2 hours or overnight., Makes 12 servings."
Homemade Coconut Cake,"Mix all ingredients together., Melt butter and pour into ingredients., Bake at 350°."
Swedish Meatballs,"Mix all ingredients together thoroughly., Form into small balls and place on lightly greased baking sheet., Bake 20 to 25 minutes at 350°., Serve in brown gravy."
Best Ever Fudge,"Melt butter with the cheese., Sift together cocoa and powdered sugar and add to cheese mixture, then add vanilla and nuts to taste., Spread in a 9 x 13-inch pan., Cool and slice., Very creamy."
Vegetable Bars,"Spread rolls out and blend seams together in a large rectangle cake pan., Bake 10 minutes or less., (Check at 8 minutes according to package directions.), Blend cream cheese, mayonnaise and salad dressing together and spread on top of baked crust., Garnish with chopped fresh broccoli, cauliflower, tomato, peppers, onion (whatever you like, or is in season)., Sprinkle Cheddar cheese over this., Cut into bars., Will keep several days in refrigerator."
Ole Fashioned Beet Pickles,"Wash fresh beets and leave an inch of the top stems so the juice will not cook out so much., I sort the beets according to size and this eliminates overcooking of small beets., Save a few cups of the red water the beets were cooked in., Beets are tender when tested with a fork., Drain off the hot water and cover with cold water until cool enough to handle., Peel beets and cut off the stems., Leave small ones whole, but large beets still need to be quartered."
Candy Cane Cookies,"Heat oven to 375°., Mix thoroughly the first 6 ingredients. Blend in flour and salt., Divide dough in half; blend food coloring into 1/2., Shape 1 teaspoon dough from each 1/2 into 4-inch rope. Roll back and forth on lightly floured board., Place ropes, side by side., Press together lightly and twist., Place on ungreased baking sheet; curve top of cookie to form a cane., Bake about 9 minutes, until set and very light brown., Makes about 2 to 4 dozen cookies, depending on size of canes."
Gumdrop Cookies,"Cream margarine., Add sugars, eggs and vanilla., Beat well. Add dry ingredients and mix well., Drop onto ungreased cookie sheets., Bake at 375° for 10 to 12 minutes., Enjoy!"
Cherry Winks,"Sift flour, baking powder, salt and soda together; set aside. Cream butter and sugar in separate bowl., Add eggs to creamed mixture, one at a time., Add milk and flour mixture., Mix well. Fold in nuts, dates and cherries."
Caramel Pull-A-Parts,"In Bundt, pan, or angel food cake pan, sprinkle nuts on bottom., Place, frozen, dough, balls, side	by, side in single layer., Melt, margarine, or, butter;, mix in pudding and brown sugar., Cook, until, sugar	dissolves., Remove from heat; pour over dough	balls, evenly.	Cover with waxed paper and a towel overnight.	Next, morning,	bake, at, 350° for 35 minutes.	To keep rolls	from, burning on top or becoming too crusty, place foil on top, for the first 25 minutes, then remove and bake 10 minutes more., Turn out on platter while still hot and serve."
Gloria'S Lemon Squares,Mix first 3 ingredients and press into 8 x 8 x 2-inch pan. Bake 20 minutes at 350°.
Confirmation Auction Cavatini,"Brown sausage in skillet. Cook noodles separately until tender. Drain noodles. Mix sausage, noodles and spaghetti sauce in a casserole dish. Sprinkle cheese on top and bake until melted."
White Christmas Candy,"Melt chocolate over medium-low heat, stirring until smooth. Remove from heat. Stir in peppermint crunch., Spread on parchment paper lined cookie sheets., Chill in refrigerator 8 to 10 minutes. Break into small pieces., Store in airtight containers., Makes 2 1/2 pounds of candy."
Onion Butter,"Blend Lipton onion soup mix thoroughly with softened butter. Makes about 1 1/4 cups. Store, covered, in refrigerator."
Mandarin Orange Salad,"Dissolve jello in boiling water., Add enough cold water to reserved liquid to make 1 3/4 cups., Add to jello; chill until slightly thickened., Add oranges., Pour into a 1 1/2-quart ring mold., Chill until firm."
